"Timestamp","ServerName","Reachable"
"2026-05-11 13:57:10","8.8.8.8","Reachable"
"2026-05-11 13:57:10","1.0.0.1","Reachable"
"2026-05-11 13:57:10","208.67.220.220","Reachable"
"2026-05-11 13:57:10","4.2.2.1","Reachable"
"2026-05-11 13:57:14","142.250.190.46","Not Reachable"
"2026-05-11 13:57:14","20.112.52.29","Not Reachable"
"2026-05-11 13:57:14","151.101.1.57","Reachable"
